Month,Monthly_Layoffs,Rolling_Total
2020-03,9628.0,9628.0
2020-04,26710.0,36338.0
2020-05,25804.0,62142.0
2020-06,7627.0,69769.0
2020-07,7112.0,76881.0
2020-08,1969.0,78850.0
2020-09,609.0,79459.0
2020-10,450.0,79909.0
2020-11,237.0,80146.0
2020-12,852.0,80998.0
2021-01,6813.0,87811.0
2021-02,868.0,88679.0
2021-03,47.0,88726.0
2021-04,261.0,88987.0
2021-06,2434.0,91421.0
2021-07,80.0,91501.0
2021-08,1867.0,93368.0
2021-09,161.0,93529.0
2021-10,22.0,93551.0
2021-11,2070.0,95621.0
2021-12,1200.0,96821.0
2022-01,510.0,97331.0
2022-02,3685.0,101016.0
2022-03,5714.0,106730.0
2022-04,4128.0,110858.0
2022-05,12885.0,123743.0
2022-06,17394.0,141137.0
2022-07,16223.0,157360.0
2022-08,13055.0,170415.0
2022-09,5881.0,176296.0
2022-10,17406.0,193702.0
2022-11,53451.0,247153.0
2022-12,10329.0,257482.0
2023-01,84714.0,342196.0
2023-02,36493.0,378689.0
2023-03,4470.0,383159.0
NaT,500.0,383659.0
