Company,Year,Total_Laid_Off,Rank
Uber,2020.0,7525.0,1
Booking.com,2020.0,4375.0,2
Groupon,2020.0,2800.0,3
Swiggy,2020.0,2250.0,4
Airbnb,2020.0,1900.0,5
Bytedance,2021.0,3600.0,1
Katerra,2021.0,2434.0,2
Zillow,2021.0,2000.0,3
Instacart,2021.0,1877.0,4
WhiteHat Jr,2021.0,1800.0,5
Meta,2022.0,11000.0,1
Amazon,2022.0,10150.0,2
Cisco,2022.0,4100.0,3
Peloton,2022.0,4084.0,4
Carvana,2022.0,4000.0,5
Philips,2022.0,4000.0,5
Google,2023.0,12000.0,1
Microsoft,2023.0,10000.0,2
Ericsson,2023.0,8500.0,3
Amazon,2023.0,8000.0,4
Salesforce,2023.0,8000.0,4
Dell,2023.0,6650.0,5
